Index, Frequency, Bool
16,19,0
7,8,0
74,5,0
66,25,0
23,16,0
43,48,0
24,11,0
14,7,0
19,37,0
49,69,0
25,12,0
67,9,0
21,5,0
51,37,0
22,22,0
41,26,0
69,6,0
59,12,0
68,29,0
72,5,0
50,28,0
26,6,0
57,7,0
56,12,0
46,2,0
11,69,0
54,16,0
52,38,0
13,33,0
0,19,0
71,8,0
5,1,0
27,10,0
45,8,0
2,41,0
9,4,0
15,10,0
75,19,0
17,27,0
53,42,0
1,39,0
20,16,0
42,2,0
70,24,0
73,3,0
18,13,0
65,16,0
28,7,0
55,38,0
61,4,0
37,1,0
64,1,0
12,13,0
3,21,0
4,41,0
47,18,0
10,1,0
58,1,0
