Right, Wrong, Bool
5909,4092,0
7621,2380,0
8567,1434,1
9326,675,1
9404,597,0
9386,615,1
9543,458,1
9587,414,1
9507,494,1
9561,440,1
9470,531,1
9558,443,1
9547,454,1
9496,505,1
9669,332,1
9584,417,1
9529,472,1
9527,474,1
9511,490,1
9559,442,1
9552,449,1
9523,478,1
9579,422,1
