46,164.9256
Motion, Set, MotionFinishedCount, Guess, Truth, Timer, 44, 196.8369
0,2, 9, FlameBlock, Nothing, 540.7834
2,1, 6, Fireball, Flames, 544.0167
3,1, 7, Nothing, FlameBlock, 547.35
0,6, 10, Nothing, Nothing, 550.7333
1,2, 24, FlameBlock, Fireball, 553.8334
3,1, 8, FlameBlock, FlameBlock, 556.9333
2,12, 8, Nothing, Flames, 560.05
0,5, 4, Nothing, Nothing, 566.6334
1,2, 25, Flames, Fireball, 569.8334
2,0, 12, Fireball, Flames, 576.2
1,5, 33, Fireball, Fireball, 582.7
1,2, 27, Nothing, Fireball, 586.0167
0,6, 11, FlameBlock, Nothing, 589.1833
2,2, 7, Fireball, Flames, 592.5667
1,6, 31, Nothing, Fireball, 595.7667
3,9, 10, Fireball, FlameBlock, 599.05
3,3, 13, Nothing, FlameBlock, 602.1667
0,6, 12, Nothing, Nothing, 605.4
3,6, 8, Nothing, FlameBlock, 611.9
2,13, 4, FlameBlock, Flames, 615.1667
2,14, 7, Fireball, Flames, 618.5667
3,7, 7, Nothing, FlameBlock, 621.7333
3,8, 9, Nothing, FlameBlock, 624.95
2,1, 9, Nothing, Flames, 628.1334
1,5, 34, Fireball, Fireball, 631.35
1,4, 23, Nothing, Fireball, 634.6
2,7, 13, FlameBlock, Flames, 637.7667
0,8, 7, Flames, Nothing, 640.9667
2,13, 5, Fireball, Flames, 644.1167
2,9, 12, FlameBlock, Flames, 647.3334
1,3, 35, Nothing, Fireball, 650.5001
0,12, 7, Fireball, Nothing, 657.1167
0,3, 3, Fireball, Nothing, 660.3
2,3, 5, Nothing, Flames, 663.6
2,1, 10, Flames, Flames, 666.7167
3,10, 4, Flames, FlameBlock, 670.0334
1,0, 40, Fireball, Fireball, 673.1167
1,3, 37, Nothing, Fireball, 676.3167
3,2, 7, FlameBlock, FlameBlock, 679.45
3,6, 10, FlameBlock, FlameBlock, 682.7667
3,6, 11, Nothing, FlameBlock, 689.45
0,3, 4, Nothing, Nothing, 692.7501
0,9, 3, Nothing, Nothing, 696.0167
1,3, 38, Nothing, Fireball, 699.1
2,12, 9, Fireball, Flames, 702.4333
0,0, 10, Nothing, Nothing, 705.7334
3,6, 12, Nothing, FlameBlock, 712.0834
0,3, 5, Flames, Nothing, 715.3167
3,6, 13, Nothing, FlameBlock, 718.6167
0,2, 15, FlameBlock, Nothing, 721.8334
3,6, 14, Flames, FlameBlock, 724.9834
2,0, 14, FlameBlock, Flames, 731.5001
1,0, 41, Nothing, Fireball, 734.65
2,6, 17, Nothing, Flames, 737.9333
0,3, 7, Flames, Nothing, 741.1667
2,16, 8, Nothing, Flames, 744.7
0,4, 9, Nothing, Nothing, 750.7334
1,2, 32, Nothing, Fireball, 753.9667
3,0, 7, Flames, FlameBlock, 763.7167
2,8, 5, Nothing, Flames, 766.9667
3,6, 15, Nothing, FlameBlock, 770.2167
1,0, 45, FlameBlock, Fireball, 773.45
0,1, 6, Nothing, Nothing, 779.7834
2,15, 7, Nothing, Flames, 782.9667
1,0, 47, Fireball, Fireball, 786.1
1,4, 28, Fireball, Fireball, 789.4667
1,1, 49, Nothing, Fireball, 792.6167
2,3, 7, Fireball, Flames, 795.85
0,6, 14, Nothing, Nothing, 802.0834
3,7, 10, Nothing, FlameBlock, 805.3167
3,7, 11, Nothing, FlameBlock, 811.85
3,3, 18, Fireball, FlameBlock, 815.0167
1,0, 49, Nothing, Fireball, 818.2
2,2, 9, Fireball, Flames, 821.3334
0,3, 9, FlameBlock, Nothing, 824.6833
