Allspeed^1,Allspeed^2,Allspeed^3,Horspeed^1,Horspeed^2,Horspeed^3,VelForwardHand^1,VelForwardHand^2,VelForwardHand^3,VelForwardHead^1,VelForwardHead^2,VelForwardHead^3,HandHeadAngle^1,HandHeadAngle^2,HandHeadAngle^3,VertHandDist^1,VertHandDist^2,VertHandDist^3,HorHandDist^1,HorHandDist^2,HorHandDist^3,HandForwardHead^1,HandForwardHead^2,HandForwardHead^3,HandForward^1,HandForward^2,HandForward^3,States
1.115271,1.243829,1.387206,1.086847,1.181236,1.283822,133.4261,17802.54,2375324,37.95282,1440.417,54667.89,118.2702,13987.85,1654347,0.4018784,0.1615062,0.06490585,0.6435774,0.4141919,0.2665645,127.5614,16271.91,2075668,40.78967,1663.797,67865.71,0
1.100011,1.210023,1.331039,1.073263,1.151894,1.236286,134.0932,17981,2411131,40.38649,1631.068,65873.12,119.823,14357.54,1720363,0.3981888,0.1585543,0.06313457,0.6409015,0.4107547,0.2632533,127.3396,16215.37,2064859,38.95789,1517.717,59127.04,0
1.114123,1.24127,1.382927,1.09051,1.189213,1.296849,134.9021,18198.58,2455028,41.53195,1724.903,71638.57,121.4873,14759.17,1793053,0.3942714,0.1554499,0.06128945,0.6383851,0.4075355,0.2601646,127.292,16203.26,2062546,37.14361,1379.648,51245.11,0
1.140809,1.301445,1.484701,1.115838,1.245093,1.389322,133.7457,17887.92,2392433,43.21268,1867.336,80692.61,123.1278,15160.45,1866673,0.3902743,0.152314,0.05944424,0.6354814,0.4038365,0.2566306,127.1083,16156.52,2053628,35.58116,1266.019,45046.43,0
1.142321,1.304896,1.49061,1.115867,1.245159,1.389431,132.6139,17586.45,2332209,45.74556,2092.656,95729.73,124.797,15574.29,1943624,0.3861263,0.1490935,0.05756892,0.6323659,0.3998867,0.2528747,127.0263,16135.69,2049657,34.21066,1170.369,40039.1,0
1.138524,1.296237,1.475798,1.111732,1.235948,1.374043,131.5036,17293.19,2274116,47.49641,2255.909,107147.6,126.4402,15987.14,2021417,0.3820879,0.1459912,0.05578148,0.6293615,0.3960959,0.2492875,126.9937,16127.39,2048076,32.9595,1086.329,35804.85,0
1.139097,1.297541,1.478025,1.117449,1.248693,1.395351,131.7018,17345.37,2284417,49.11405,2412.19,118472.4,128.1392,16419.66,2104002,0.3787575,0.1434572,0.0543355,0.6259183,0.3917737,0.2452183,126.7192,16057.75,2034824,31.40548,986.3041,30975.35,0
1.127552,1.271374,1.433541,1.10209,1.214603,1.338602,128.6252,16544.45,2128034,50.85118,2585.842,131493.1,129.7516,16835.49,2184433,0.3741477,0.1399865,0.05237561,0.6230833,0.3882328,0.2419014,126.5987,16027.24,2029027,29.92982,895.7942,26810.96,0
1.124305,1.264062,1.421191,1.08748,1.182613,1.286068,123.366,15219.16,1877527,52.87809,2796.092,147852,131.4275,17273.18,2270171,0.3692467,0.1363431,0.05034426,0.6199496,0.3843375,0.2382699,126.42,15982.03,2020449,29.02747,842.5939,24458.37,0
1.128713,1.273994,1.437974,1.090429,1.189036,1.296559,120.9948,14639.73,1771331,54.02732,2918.951,157703.1,133.0691,17707.39,2356308,0.3644297,0.132809,0.04839955,0.617391,0.3811717,0.235332,126.3274,15958.62,2016011,28.20466,795.5031,22436.9,0
1.08411,1.175294,1.274147,1.050424,1.10339,1.159027,119.7106,14330.62,1715527,56.10746,3148.047,176628.9,134.6325,18125.92,2440338,0.3603065,0.1298208,0.04677527,0.6139683,0.3769571,0.2314397,126.1916,15924.31,2009514,26.80068,718.2766,19250.3,0
