Right, Wrong, Bool
5853,4148,0
7790,2211,1
8718,1283,1
9343,658,1
9669,332,1
9676,325,1
9823,178,1
9815,186,1
9874,127,1
9940,61,1
9872,129,1
9911,90,1
9905,96,1
9937,64,1
9903,98,1
9914,87,1
9909,92,1
9947,54,1
9946,55,1
