I0,I1,I2,States,,IsTrue,IsFalse
0.7136317,102.2843,158.651,FALSE,,,0.7136317
0.7024159,98.91485,156.4817,FALSE,,,0.7024159
0.6985666,98.71443,155.9704,FALSE,,,0.6985666
0.6846765,99.10753,153.0278,FALSE,,,0.6846765
0.6350864,97.0591,149.599,FALSE,,,0.6350864
0.5001909,99.59621,147.6812,FALSE,,,0.5001909
0.05060835,12.74031,28.52387,FALSE,,,0.05060835
0.1232195,24.01407,5.889093,FALSE,,,0.1232195
0.3207196,36.7025,6.789892,TRUE,,0.3207196,
0.3772024,29.07903,6.138108,TRUE,,0.3772024,
0.5961952,17.80367,4.230961,TRUE,,0.5961952,
0.839305,24.3422,4.407889,TRUE,,0.839305,
1.229122,37.69662,7.311422,TRUE,,1.229122,
1.473569,38.01013,8.37698,TRUE,,1.473569,
1.820025,31.88108,10.09272,TRUE,,1.820025,
1.876566,25.76063,10.45596,TRUE,,1.876566,
2.105768,15.9274,10.08337,TRUE,,2.105768,
2.25054,15.309,11.30307,TRUE,,2.25054,
2.472052,20.14281,14.0327,TRUE,,2.472052,
2.497594,20.48413,14.34128,TRUE,,2.497594,
2.381803,17.65491,14.49912,TRUE,,2.381803,
2.310196,24.16679,15.73535,TRUE,,2.310196,
2.087245,34.90061,20.08531,TRUE,,2.087245,
1.868948,33.14679,20.33795,TRUE,,1.868948,
1.506992,29.76645,17.9998,TRUE,,1.506992,
1.28644,29.80435,16.88599,TRUE,,1.28644,
0.8511007,30.17613,14.94541,FALSE,,,0.8511007
0.7675813,18.97114,12.50675,FALSE,,,0.7675813
0.4249936,29.79753,12.8452,FALSE,,,0.4249936
0.2505086,84.30535,32.781,FALSE,,,0.2505086
0.2260473,120.4585,70.96072,FALSE,,,0.2260473
0.2582237,121.4483,78.24477,FALSE,,,0.2582237
0.08564222,171.5049,44.58433,FALSE,,,0.08564222
0.1008002,121.6237,20.27443,FALSE,,,0.1008002
0.2072668,59.09336,11.15613,FALSE,,,0.2072668
0.3076798,90.40461,14.61266,FALSE,,,0.3076798
0.6032031,117.2693,20.05674,TRUE,,0.6032031,
0.8289058,147.9703,22.48958,TRUE,,0.8289058,
1.395882,165.8761,29.53453,TRUE,,1.395882,
1.636075,154.6638,32.37376,TRUE,,1.636075,
2.250784,151.8962,37.19932,TRUE,,2.250784,
2.597981,155.1495,38.91111,TRUE,,2.597981,
3.254411,153.2521,39.37518,TRUE,,3.254411,
3.372945,153.4574,39.60799,TRUE,,3.372945,
3.397425,158.2063,38.8156,TRUE,,3.397425,
3.30356,161.6655,37.05891,TRUE,,3.30356,
3.001945,168.6257,35.1203,TRUE,,3.001945,
2.713183,168.1196,34.07382,TRUE,,2.713183,
2.05387,174.2089,29.38115,TRUE,,2.05387,
1.848612,178.9675,27.7437,TRUE,,1.848612,
1.514085,179.9138,30.02922,TRUE,,1.514085,
1.454692,178.7043,32.30441,TRUE,,1.454692,
0.6559657,169.4496,37.91153,FALSE,,,0.6559657
0.2574862,154.7045,49.47055,FALSE,,,0.2574862
0.1330816,68.56705,83.2521,FALSE,,,0.1330816
0.2646359,61.37037,86.02645,FALSE,,,0.2646359
0.4203414,65.06056,84.38464,FALSE,,,0.4203414
0.2937256,27.66088,27.63465,FALSE,,,0.2937256
0.6290006,15.04601,11.00729,FALSE,,,0.6290006
0.7950211,43.68929,10.54777,FALSE,,,0.7950211
1.279377,89.64103,17.92934,TRUE,,1.279377,
1.519411,94.67868,20.51039,TRUE,,1.519411,
2.138749,106.7921,24.43972,TRUE,,2.138749,
2.599646,111.9669,26.73611,TRUE,,2.599646,
3.046713,117.8459,31.63406,TRUE,,3.046713,
3.17398,120.3637,33.51477,TRUE,,3.17398,
3.700272,122.8401,35.90356,TRUE,,3.700272,
3.556616,123.0847,36.32399,TRUE,,3.556616,
3.190521,122.9588,36.62354,TRUE,,3.190521,
3.149163,123.3942,37.16246,TRUE,,3.149163,
2.54566,125.0454,38.17001,TRUE,,2.54566,
2.280576,121.6423,39.78118,TRUE,,2.280576,
1.800379,116.7161,45.35384,FALSE,,,1.800379
1.595162,112.9083,49.39482,FALSE,,,1.595162
0.9779285,102.0848,72.03481,FALSE,,,0.9779285
0.5445163,103.4789,85.03719,FALSE,,,0.5445163
0.1179032,122.775,135.313,FALSE,,,0.1179032
0.1649147,142.4003,137.148,FALSE,,,0.1649147
0.211623,130.1502,110.0236,FALSE,,,0.211623
0.2151201,123.3735,114.8863,FALSE,,,0.2151201
0.3681963,17.95477,7.753398,FALSE,,,0.3681963
0.5242307,115.3387,11.36919,FALSE,,,0.5242307
1.080248,147.0732,16.42913,FALSE,,,1.080248
1.397004,137.1772,18.21968,TRUE,,1.397004,
2.191251,138.285,23.49173,TRUE,,2.191251,
2.46754,140.2985,25.53728,TRUE,,2.46754,
2.927228,137.5436,31.14179,TRUE,,2.927228,
3.309426,135.9056,34.3259,TRUE,,3.309426,
3.712163,132.1891,37.89837,TRUE,,3.712163,
3.628672,131.2541,38.08102,TRUE,,3.628672,
3.384267,131.1372,38.03527,TRUE,,3.384267,
3.103601,131.7394,38.81262,TRUE,,3.103601,
2.35953,128.1824,40.98051,TRUE,,2.35953,
2.137182,124.8589,41.20433,TRUE,,2.137182,
1.805815,132.0904,38.98118,FALSE,,,1.805815
1.437383,144.9828,36.05866,FALSE,,,1.437383
0.4848304,168.8295,34.23521,FALSE,,,0.4848304
0.1457436,173.3357,60.02752,FALSE,,,0.1457436
0.1767783,150.2355,81.0956,FALSE,,,0.1767783
0.2655502,149.6576,58.00766,FALSE,,,0.2655502
0.1799624,139.7491,61.81195,FALSE,,,0.1799624
0.1285219,129.3834,72.70457,FALSE,,,0.1285219
0.02956009,99.6802,69.58796,FALSE,,,0.02956009
0.6214096,63.24966,29.5152,FALSE,,,0.6214096
0.8111981,77.2423,30.07505,FALSE,,,0.8111981
1.36682,96.88036,33.98315,FALSE,,,1.36682
1.611683,101.7741,36.581,TRUE,,1.611683,
2.343167,108.1786,42.32782,TRUE,,2.343167,
2.774067,110.9665,45.26379,TRUE,,2.774067,
3.205853,112.0057,51.45981,TRUE,,3.205853,
