Index, Frequency, Bool
12,64,0
3,69,0
2,104,0
18,15,0
17,81,0
43,77,0
20,67,0
16,43,0
27,30,0
1,92,0
52,66,0
47,27,0
73,9,0
22,54,0
56,6,0
50,22,0
65,40,0
44,9,0
75,37,0
71,19,0
68,76,0
23,42,0
42,14,0
51,40,0
41,51,0
21,4,0
46,15,0
26,31,0
57,4,0
4,99,0
32,1,0
49,110,0
15,20,0
54,23,0
13,76,0
0,75,0
70,61,0
25,16,0
19,60,0
67,26,0
24,28,0
30,1,0
53,71,0
45,12,0
11,34,0
66,69,0
55,50,0
33,1,0
14,7,0
7,3,0
72,19,0
34,1,0
29,1,0
74,11,0
69,18,0
40,1,0
5,2,0
10,2,0
59,5,0
48,1,0
64,1,0
